type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:32:07,53.97316570,-7.35513811,9.94,84.628,56.998,1.250,210,20,36,,
T,2024-11-19 12:32:08,53.97315480,-7.35514353,9.94,84.392,56.998,1.270,206,19,36,,
T,2024-11-19 12:32:09,53.97314305,-7.35514500,9.94,84.324,56.998,1.250,211,19,36,,
T,2024-11-19 12:32:10,53.97313236,-7.35514537,9.94,84.194,56.998,1.270,212,19,36,,
T,2024-11-19 12:32:11,53.97312163,-7.35514772,9.94,84.795,56.998,1.240,215,19,36,,
T,2024-11-19 12:32:12,53.97311108,-7.35514790,9.94,84.696,56.998,1.100,217,19,36,,
T,2024-11-19 12:32:13,53.97309970,-7.35515030,9.94,84.755,56.997,1.270,215,20,36,,
T,2024-11-19 12:32:14,53.97308759,-7.35515908,9.94,84.959,56.997,1.230,217,20,36,,
T,2024-11-19 12:32:15,53.97307638,-7.35516698,9.94,84.918,56.997,1.240,217,20,36,,
T,2024-11-19 12:32:16,53.97306474,-7.35516987,9.94,84.531,56.997,1.290,220,22,36,,
T,2024-11-19 12:32:17,53.97305302,-7.35517477,9.94,84.496,56.997,1.230,193,22,36,,
T,2024-11-19 12:32:18,53.97304392,-7.35517522,9.94,84.656,56.997,1.000,220,22,36,,
T,2024-11-19 12:32:19,53.97303274,-7.35517538,9.94,84.349,56.997,1.180,226,21,36,,
T,2024-11-19 12:32:20,53.97302086,-7.35517823,9.94,84.525,56.997,1.270,192,22,36,,
T,2024-11-19 12:32:21,53.97300965,-7.35517941,9.94,84.175,56.997,1.230,187,22,36,,
T,2024-11-19 12:32:22,53.97299909,-7.35517952,9.94,83.886,56.997,1.190,185,22,36,,
T,2024-11-19 12:32:23,53.97298931,-7.35518628,9.94,84.571,56.997,1.220,196,22,36,,
T,2024-11-19 12:32:24,53.97297917,-7.35519156,9.94,84.845,56.997,1.200,192,22,36,,
